customer_id,customer_name,segment,recency,frequency,monetary,total_profit,total_quantity,first_order_date,last_order_date,aov,profit_margin_pct,r_score,f_score,m_score,rfm_score,rfm_combined_score,rfm_segment
AA-10315,Alex Avila,Consumer,184,5,5563.56,-362.8825,30,2014-03-31,2017-06-29,1112.71,-6.52,2,2,5,225,9,About to Sleep
AA-10375,Allen Armold,Consumer,19,9,1056.39,277.3824,41,2014-04-21,2017-12-11,117.38,26.26,5,5,2,552,12,Hibernating
AA-10480,Andrew Allen,Consumer,259,4,1790.5120000000002,435.8274,36,2014-05-04,2017-04-15,447.63,24.34,1,1,3,113,5,About to Sleep
AA-10645,Anna Andreadi,Consumer,55,6,5086.9349999999995,857.8033,64,2014-06-22,2017-11-05,847.82,16.86,3,3,5,335,11,Loyal Customers
AB-10015,Aaron Bergman,Consumer,415,3,886.156,129.3465,13,2014-02-18,2016-11-10,295.39,14.6,1,1,1,111,3,Lost Customers
AB-10060,Adam Bellavance,Home Office,54,8,7755.62,2054.5885,56,2015-09-18,2017-11-06,969.45,26.49,3,4,5,345,12,Loyal Customers
AB-10105,Adrian Barton,Consumer,41,10,14473.570999999998,5444.8055,73,2014-12-20,2017-11-19,1447.36,37.62,4,5,5,455,14,Champions
AB-10150,Aimee Bixby,Consumer,41,5,966.71,313.6597,37,2014-03-05,2017-11-19,193.34,32.45,4,2,2,422,8,Potential Loyalists
AB-10165,Alan Barnes,Consumer,25,8,1113.838,220.813,48,2014-11-16,2017-12-05,139.23,19.82,5,4,2,542,11,Hibernating
AB-10255,Alejandro Ballentine,Home Office,166,9,914.5319999999999,264.5675,39,2014-07-22,2017-07-17,101.61,28.93,2,5,1,251,8,Hibernating
AB-10600,Ann Blume,Corporate,50,4,1515.862,-274.9604,38,2014-11-18,2017-11-10,378.97,-18.14,4,1,2,412,7,Potential Loyalists
AC-10420,Alyssa Crouse,Corporate,232,3,925.8,-62.1342,17,2014-07-12,2017-05-12,308.6,-6.71,1,1,1,111,3,Lost Customers
AC-10450,Amy Cox,Consumer,11,7,5527.846,1366.0098,43,2014-10-31,2017-12-19,789.69,24.71,5,3,5,535,13,Loyal Customers
AC-10615,Ann Chong,Corporate,6,5,2537.6859999999997,298.8273,59,2015-09-15,2017-12-24,507.54,11.78,5,2,3,523,10,Potential Loyalists
AC-10660,Anna Chung,Consumer,282,5,657.316,-28.700399999999995,16,2014-10-15,2017-03-23,131.46,-4.37,1,2,1,121,4,Lost Customers
AD-10180,Alan Dominguez,Home Office,29,8,6106.88,1869.9294,40,2014-11-19,2017-12-01,763.36,30.62,4,4,5,445,13,Champions
AF-10870,Art Ferguson,Consumer,41,7,2052.908,317.9712,51,2015-12-06,2017-11-19,293.27,15.49,4,3,3,433,10,Loyal Customers
AF-10885,Art Foster,Consumer,415,4,861.565,-163.1175,37,2014-05-10,2016-11-10,215.39,-18.93,1,1,1,111,3,Lost Customers
AG-10270,Alejandro Grove,Consumer,278,5,2582.898,732.7399,58,2014-05-13,2017-03-27,516.58,28.37,1,2,3,123,6,About to Sleep
AG-10300,Aleksandra Gannaway,Corporate,118,4,367.548,59.288399999999996,16,2014-04-26,2017-09-03,91.89,16.13,2,1,1,211,4,Lost Customers
AG-10330,Alex Grayson,Consumer,8,5,660.972,-5.137100000000006,47,2016-08-03,2017-12-22,132.19,-0.78,5,2,1,521,8,Need Attention
AG-10390,Allen Goldenen,Consumer,114,5,200.945,69.2784,33,2014-04-19,2017-09-07,40.19,34.48,2,2,1,221,5,Lost Customers
AG-10495,Andrew Gjertsen,Corporate,78,8,2356.855,295.6668,93,2015-01-04,2017-10-13,294.61,12.54,3,4,3,343,10,Loyal Customers
AG-10525,Andy Gerbode,Corporate,845,4,1455.038,-152.7613,33,2014-08-09,2015-09-07,363.76,-10.5,1,1,2,112,4,Lost Customers
AG-10675,Anna Gayman,Consumer,97,7,3489.0396000000005,-246.42570000000003,54,2015-05-07,2017-09-24,498.43,-7.06,3,3,4,334,10,Loyal Customers
AG-10765,Anthony Garverick,Home Office,77,4,170.584,-8.431000000000001,20,2014-09-17,2017-10-14,42.65,-4.94,3,1,1,311,5,Need Attention
AG-10900,Arthur Gainer,Consumer,96,10,4510.797,343.6824,92,2014-07-23,2017-09-25,451.08,7.62,3,5,5,355,13,Loyal Customers
AH-10030,Aaron Hawkins,Corporate,12,7,1744.7,365.2152,54,2014-04-22,2017-12-18,249.24,20.93,5,3,3,533,11,Loyal Customers
AH-10075,Adam Hart,Corporate,34,10,3250.337,281.189,75,2014-11-16,2017-11-26,325.03,8.65,4,5,4,454,13,Champions
AH-10120,Adrian Hane,Home Office,60,7,1735.5140000000001,-2.3145999999999773,65,2014-07-18,2017-10-31,247.93,-0.13,3,3,2,332,8,Hibernating
AH-10195,Alan Haines,Corporate,55,4,1587.452,-378.5509,28,2015-03-05,2017-11-05,396.86,-23.85,3,1,2,312,6,Need Attention
AH-10210,Alan Hwang,Consumer,6,9,4805.344,1308.5546,53,2014-11-29,2017-12-24,533.93,27.23,5,5,5,555,15,Champions
AH-10465,Amy Hunt,Consumer,230,5,2495.3916,-196.12009999999998,35,2015-01-03,2017-05-14,499.08,-7.86,1,2,3,123,6,About to Sleep
AH-10585,Angele Hood,Consumer,21,4,738.504,83.96300000000001,17,2014-10-26,2017-12-09,184.63,11.37,5,1,1,511,7,New Customers
AH-10690,Anna Häberlin,Corporate,410,12,7888.294,1298.0166,102,2014-04-02,2016-11-15,657.36,16.45,1,5,5,155,11,At Risk
AI-10855,Arianne Irving,Consumer,13,10,4375.786,867.7271000000001,72,2014-04-28,2017-12-17,437.58,19.83,5,5,5,555,15,Champions
AJ-10780,Anthony Jacobs,Corporate,75,7,4867.344,150.71300000000005,62,2014-01-10,2017-10-16,695.33,3.1,3,3,5,335,11,Loyal Customers
AJ-10795,Anthony Johnson,Corporate,166,7,4501.391,1158.7064,88,2014-05-14,2017-07-17,643.06,25.74,2,3,5,235,10,At Risk
AJ-10945,Ashley Jarboe,Consumer,85,7,1839.24,521.1351999999999,40,2014-03-03,2017-10-06,262.75,28.33,3,3,3,333,9,Loyal Customers
AJ-10960,Astrea Jones,Consumer,74,3,629.2479999999999,60.4265,22,2014-09-14,2017-10-17,209.75,9.6,3,1,1,311,5,Need Attention
AM-10360,Alice McCarthy,Corporate,28,5,814.012,194.9878,48,2014-10-06,2017-12-02,162.8,23.95,4,2,1,421,7,Need Attention
AM-10705,Anne McFarland,Consumer,162,8,5664.022,1085.7326,81,2014-10-31,2017-07-21,708.0,19.17,2,4,5,245,11,At Risk
AO-10810,Anthony O'Donnell,Corporate,501,1,161.28,12.096,2,2016-08-16,2016-08-16,161.28,7.5,1,1,1,111,3,Lost Customers
AP-10720,Anne Pryor,Home Office,41,8,1638.554,285.7888,85,2014-03-03,2017-11-19,204.82,17.44,4,4,2,442,10,Hibernating
AP-10915,Arthur Prichep,Consumer,98,10,3323.556,579.3113,102,2014-08-23,2017-09-23,332.36,17.43,3,5,4,354,12,Loyal Customers
AR-10345,Alex Russell,Corporate,111,4,1055.694,-221.0544,18,2014-12-30,2017-09-10,263.92,-20.94,2,1,2,212,5,Lost Customers
AR-10405,Allen Rosenblatt,Corporate,125,5,2236.128,-98.7646,29,2014-10-03,2017-08-27,447.23,-4.42,2,2,3,223,7,About to Sleep
AR-10510,Andrew Roberts,Consumer,14,5,264.86400000000003,43.6695,33,2014-05-02,2017-12-16,52.97,16.49,5,2,1,521,8,Need Attention
AR-10540,Andy Reiter,Consumer,6,6,6608.448,2884.6208,33,2014-11-25,2017-12-24,1101.41,43.65,5,3,5,535,13,Loyal Customers
AR-10570,Anemone Ratner,Consumer,534,1,88.15,32.633,6,2016-07-14,2016-07-14,88.15,37.02,1,1,1,111,3,Lost Customers
AR-10825,Anthony Rawles,Corporate,58,8,4523.336,494.83519999999993,54,2014-06-30,2017-11-02,565.42,10.94,3,4,5,345,12,Loyal Customers
AS-10045,Aaron Smayling,Corporate,88,7,3050.692,-253.57459999999998,48,2014-07-27,2017-10-03,435.81,-8.31,3,3,4,334,10,Loyal Customers
AS-10090,Adam Shillingsburg,Consumer,28,9,3255.31,64.53739999999998,81,2014-09-22,2017-12-02,361.7,1.98,4,5,4,454,13,Champions
AS-10135,Adrian Shami,Home Office,41,2,58.82,21.8496,9,2016-11-13,2017-11-19,29.41,37.15,4,1,1,411,6,New Customers
AS-10225,Alan Schoenberger,Corporate,22,5,4260.784,719.7751000000001,41,2014-10-18,2017-12-08,852.16,16.89,5,2,4,524,11,Potential Loyalists
AS-10240,Alan Shonely,Consumer,192,7,584.6080000000001,33.715799999999994,39,2014-03-15,2017-06-21,83.52,5.77,2,3,1,231,6,Hibernating
AS-10285,Alejandro Savely,Corporate,19,6,3214.236,354.62760000000003,39,2016-05-21,2017-12-11,535.71,11.03,5,3,4,534,12,Loyal Customers
AS-10630,Ann Steele,Home Office,92,7,833.398,136.49190000000002,34,2014-08-01,2017-09-29,119.06,16.38,3,3,1,331,7,Hibernating
AT-10435,Alyssa Tate,Home Office,21,6,1171.814,100.87680000000002,28,2014-11-24,2017-12-09,195.3,8.61,5,3,2,532,10,Hibernating
AT-10735,Annie Thurman,Consumer,13,10,3831.864,974.107,60,2014-08-30,2017-12-17,383.19,25.42,5,5,4,554,14,Champions
AW-10840,Anthony Witt,Consumer,20,4,649.376,65.77250000000001,24,2015-04-13,2017-12-10,162.34,10.13,5,1,1,511,7,New Customers
AW-10930,Arthur Wiediger,Home Office,46,7,2852.968,-104.5486,68,2014-07-14,2017-11-14,407.57,-3.66,4,3,4,434,11,Loyal Customers
AY-10555,Andy Yotov,Corporate,14,4,497.014,103.3499,34,2014-04-06,2017-12-16,124.25,20.79,5,1,1,511,7,New Customers
AZ-10750,Annie Zypern,Consumer,160,6,1622.0179999999998,154.9503,40,2014-03-17,2017-07-23,270.34,9.55,2,3,2,232,7,Hibernating
BB-10990,Barry Blumstein,Corporate,105,5,744.3399999999999,11.583900000000007,26,2014-07-27,2017-09-16,148.87,1.56,2,2,1,221,5,Lost Customers
BB-11545,Brenda Bowman,Corporate,28,9,6765.728,1015.0749999999999,83,2015-06-05,2017-12-02,751.75,15.0,4,5,5,455,14,Champions
BC-11125,Becky Castell,Home Office,202,9,2933.676,251.5974,60,2014-07-06,2017-06-11,325.96,8.58,2,5,4,254,11,At Risk
BD-11320,Bill Donatelli,Consumer,33,12,5718.521,1094.5037,75,2015-05-31,2017-11-27,476.54,19.14,4,5,5,455,14,Champions
BD-11500,Bradley Drucker,Consumer,35,6,4411.2429999999995,1142.1225,49,2014-02-01,2017-11-25,735.21,25.89,4,3,5,435,12,Loyal Customers
BD-11560,Brendan Dodson,Home Office,278,2,320.54,116.714,11,2015-05-30,2017-03-27,160.27,36.41,1,1,1,111,3,Lost Customers
BD-11605,Brian Dahlen,Consumer,97,7,3288.471,634.8463,74,2014-01-13,2017-09-24,469.78,19.31,3,3,4,334,10,Loyal Customers
BD-11620,Brian DeCherney,Consumer,69,6,1538.11,206.75689999999997,27,2014-06-30,2017-10-22,256.35,13.44,3,3,2,332,8,Hibernating
BD-11635,Brian Derr,Consumer,9,3,582.646,141.53400000000002,19,2014-10-05,2017-12-21,194.22,24.29,5,1,1,511,7,New Customers
BD-11725,Bruce Degenhardt,Consumer,93,6,1526.5,333.9791,29,2015-07-03,2017-09-28,254.42,21.88,3,3,2,332,8,Hibernating
BD-11770,Bryan Davis,Consumer,327,6,658.466,141.265,21,2016-03-10,2017-02-06,109.74,21.45,1,3,1,131,5,Hibernating
BE-11335,Bill Eplett,Home Office,119,5,4204.676,1487.7739000000001,35,2016-01-15,2017-09-02,840.94,35.38,2,2,4,224,8,About to Sleep
BE-11410,Bobby Elias,Consumer,98,5,2261.438,755.9150999999999,19,2016-02-07,2017-09-23,452.29,33.43,3,2,3,323,8,Hibernating
BE-11455,Brad Eason,Home Office,254,6,1727.652,139.20080000000002,40,2015-08-02,2017-04-20,287.94,8.06,1,3,2,132,6,Hibernating
BF-10975,Barbara Fisher,Corporate,91,7,599.798,227.4384,38,2014-07-14,2017-09-30,85.69,37.92,3,3,1,331,7,Hibernating
BF-11005,Barry Franz,Home Office,39,4,1333.88,-291.38109999999995,26,2014-09-25,2017-11-21,333.47,-21.84,4,1,2,412,7,Potential Loyalists
BF-11020,Barry Französisch,Corporate,74,8,2888.506,302.02,78,2014-02-15,2017-10-17,361.06,10.46,3,4,4,344,11,Loyal Customers
BF-11080,Bart Folk,Consumer,25,3,272.95,110.9272,29,2014-11-28,2017-12-05,90.98,40.64,5,1,1,511,7,New Customers
BF-11170,Ben Ferrer,Home Office,16,11,5907.972,1538.2127,102,2014-04-13,2017-12-14,537.09,26.04,5,5,5,555,15,Champions
BF-11215,Benjamin Farhat,Home Office,65,4,1585.162,523.2133,48,2014-11-09,2017-10-26,396.29,33.01,3,1,2,312,6,Need Attention
BF-11275,Beth Fritzler,Corporate,57,3,791.9899999999999,25.870199999999997,11,2014-03-22,2017-11-03,264.0,3.27,3,1,1,311,5,Need Attention
BG-11035,Barry Gonzalez,Consumer,28,8,2798.948,-711.4274,35,2014-11-05,2017-12-02,349.87,-25.42,4,4,4,444,12,Champions
BG-11695,Brooke Gillingham,Corporate,36,6,1874.172,107.5715,24,2014-05-11,2017-11-24,312.36,5.74,4,3,3,433,10,Loyal Customers
BG-11740,Bruce Geld,Consumer,57,6,1006.356,119.34790000000001,22,2014-03-23,2017-11-03,167.73,11.86,3,3,2,332,8,Hibernating
BH-11710,Brosina Hoffman,Consumer,23,8,6255.351,802.7898,97,2014-06-09,2017-12-07,781.92,12.83,5,4,5,545,14,Champions
BK-11260,Berenike Kampe,Consumer,77,6,659.1379999999999,-63.764399999999995,58,2014-08-03,2017-10-14,109.86,-9.67,3,3,1,331,7,Hibernating
BM-11140,Becky Martin,Consumer,307,4,11789.63,-1659.9580999999998,64,2014-09-08,2017-02-26,2947.41,-14.08,1,1,5,115,7,About to Sleep
BM-11575,Brendan Murry,Corporate,100,6,808.162,95.58160000000001,22,2015-09-15,2017-09-21,134.69,11.83,3,3,1,331,7,Hibernating
BM-11650,Brian Moss,Corporate,33,11,7294.185,2199.2781,95,2014-07-09,2017-11-27,663.11,30.15,4,5,5,455,14,Champions
BM-11785,Bryan Mills,Consumer,218,10,1338.842,137.7439,44,2014-06-06,2017-05-26,133.88,10.29,2,5,2,252,9,Hibernating
BN-11470,Brad Norvell,Corporate,24,4,265.296,36.6131,15,2014-09-12,2017-12-06,66.32,13.8,5,1,1,511,7,New Customers
BN-11515,Bradley Nguyen,Consumer,9,5,1459.344,340.7054,79,2014-03-17,2017-12-21,291.87,23.35,5,2,2,522,9,Potential Loyalists
BO-11350,Bill Overfelt,Corporate,137,5,2682.728,278.77700000000004,43,2016-01-03,2017-08-15,536.55,10.39,2,2,3,223,7,About to Sleep
BO-11425,Bobby Odegard,Consumer,75,2,130.83,59.4522,7,2015-09-10,2017-10-16,65.42,45.44,3,1,1,311,5,Need Attention
BP-11050,Barry Pond,Corporate,83,5,983.42,209.78300000000002,30,2014-10-12,2017-10-08,196.68,21.33,3,2,2,322,7,Need Attention
BP-11095,Bart Pistole,Corporate,17,12,2442.044,433.9751,70,2014-06-07,2017-12-13,203.5,17.77,5,5,3,553,13,Loyal Customers
BP-11155,Becky Pak,Consumer,89,6,1697.8609999999999,647.3847000000001,32,2015-06-04,2017-10-02,282.98,38.13,3,3,2,332,8,Hibernating
BP-11185,Ben Peterman,Corporate,1,9,3675.861,363.5991,69,2015-03-24,2017-12-29,408.43,9.89,5,5,4,554,14,Champions
BP-11230,Benjamin Patterson,Consumer,39,5,1181.49,-197.2695,14,2014-04-20,2017-11-21,236.3,-16.7,4,2,2,422,8,Potential Loyalists
BP-11290,Beth Paige,Consumer,12,7,2475.157,-319.0637,51,2014-10-03,2017-12-18,353.59,-12.89,5,3,3,533,11,Loyal Customers
BS-11365,Bill Shonely,Corporate,558,5,10501.653,2616.0643999999998,39,2014-05-04,2016-06-20,2100.33,24.91,1,2,5,125,8,About to Sleep
BS-11380,Bill Stewart,Corporate,28,5,3887.834,-17.532200000000024,58,2014-11-29,2017-12-02,777.57,-0.45,4,2,4,424,10,Potential Loyalists
BS-11590,Brendan Sweed,Corporate,35,6,2454.928,381.7807,41,2014-01-14,2017-11-25,409.15,15.55,4,3,3,433,10,Loyal Customers
BS-11665,Brian Stugart,Consumer,582,3,3288.1099999999997,238.73680000000002,47,2014-06-23,2016-05-27,1096.04,7.26,1,1,4,114,6,About to Sleep
BS-11755,Bruce Stewart,Consumer,1,7,2562.382,-113.29840000000003,45,2014-05-18,2017-12-29,366.05,-4.42,5,3,3,533,11,Loyal Customers
BS-11800,Bryan Spruell,Home Office,265,2,949.4300000000001,194.0516,22,2015-09-26,2017-04-09,474.72,20.44,1,1,1,111,3,Lost Customers
BT-11305,Beth Thompson,Home Office,336,5,2567.656,417.5918,33,2014-04-25,2017-01-28,513.53,16.26,1,2,3,123,6,About to Sleep
BT-11395,Bill Tyler,Corporate,302,6,2186.6130000000003,257.9163,38,2014-10-28,2017-03-03,364.44,11.8,1,3,3,133,7,At Risk
