customer_id,customer_name,segment,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
CG-12520,Claire Gute,Consumer,338,3,1148.7800000000002,1,1,2,112,Lost Customers
DV-13045,Darrin Van Huff,Corporate,19,5,1119.483,5,2,2,522,Potential Loyalists
SO-20335,Sean O'Donnell,Consumer,29,6,2602.5755,4,3,3,433,Loyal Customers
BH-11710,Brosina Hoffman,Consumer,23,8,6255.351,5,4,5,545,Champions
AA-10480,Andrew Allen,Consumer,259,4,1790.5120000000002,1,1,3,113,About to Sleep
IM-15070,Irene Maddox,Consumer,390,7,4930.474,1,4,5,145,At Risk
HP-14815,Harold Pawlan,Home Office,30,7,1990.314,4,4,3,443,Loyal Customers
PK-19075,Pete Kriz,Consumer,9,12,8646.934,5,5,5,555,Champions
AG-10270,Alejandro Grove,Consumer,278,5,2582.898,1,2,3,123,About to Sleep
ZD-21925,Zuschuss Donatelli,Consumer,202,5,1493.944,2,3,2,232,Hibernating
KB-16585,Ken Black,Corporate,230,12,2744.742,1,5,3,153,At Risk
SF-20065,Sandra Flanagan,Consumer,59,7,763.5459999999999,3,4,1,341,Hibernating
EB-13870,Emily Burns,Consumer,100,10,2767.219,3,5,4,354,Loyal Customers
EH-13945,Eric Hoffmann,Consumer,217,8,684.1709999999999,2,4,1,241,Hibernating
TB-21520,Tracy Blumstein,Consumer,107,9,4737.486,2,5,5,255,At Risk
MA-17560,Matt Abelman,Home Office,64,11,4299.161,3,5,5,355,Loyal Customers
GH-14485,Gene Hale,Corporate,387,2,1361.244,1,1,2,112,Lost Customers
SN-20710,Steve Nguyen,Home Office,79,7,3127.9592,3,4,4,344,Loyal Customers
LC-16930,Linda Cazamias,Corporate,41,8,4492.946,4,4,5,445,Champions
RA-19885,Ruben Ausman,Corporate,43,7,3832.314,4,4,4,444,Champions
ES-14080,Erin Smith,Corporate,28,9,4657.924,4,5,5,455,Champions
ON-18715,Odella Nelson,Corporate,410,9,1567.52,1,5,2,152,Hibernating
PO-18865,Patrick O'Donnell,Consumer,0,7,2493.214,5,4,3,543,Loyal Customers
LH-16900,Lena Hernandez,Consumer,21,9,2295.332,5,5,3,553,Loyal Customers
DP-13000,Darren Powers,Consumer,126,9,1050.636,2,5,2,252,Hibernating
JM-15265,Janet Molinari,Corporate,37,5,1804.146,4,2,3,423,Potential Loyalists
TB-21055,Ted Butterfield,Consumer,119,5,1467.881,2,2,2,222,Lost Customers
KM-16720,Kunst Miller,Consumer,28,8,4909.472,4,4,5,445,Champions
PS-18970,Paul Stevenson,Home Office,69,8,1278.639,3,4,2,342,Hibernating
BS-11590,Brendan Sweed,Corporate,35,6,2454.928,4,3,3,433,Loyal Customers
KD-16270,Karen Daniels,Consumer,484,5,8282.358,1,2,5,125,About to Sleep
HM-14980,Henry MacAllister,Consumer,247,4,736.276,1,1,1,111,Lost Customers
JE-15745,Joel Eaton,Consumer,51,13,6760.8150000000005,4,5,5,455,Champions
KB-16600,Ken Brennan,Corporate,1,7,983.922,5,4,2,542,Hibernating
SC-20770,Stewart Carmichael,Corporate,41,7,4492.657,4,4,5,445,Champions
DN-13690,Duane Noonan,Consumer,217,7,2139.79,2,3,3,233,At Risk
JC-16105,Julie Creighton,Corporate,57,5,858.576,3,2,1,321,Need Attention
CS-12400,Christopher Schild,Home Office,2,9,3651.8585,5,5,4,554,Champions
PG-18895,Paul Gonzalez,Consumer,57,9,1987.164,3,5,3,353,Loyal Customers
GM-14455,Gary Mitchum,Home Office,16,6,3078.624,5,3,4,534,Loyal Customers
JS-15685,Jim Sink,Corporate,42,4,1131.064,4,1,2,412,Potential Loyalists
KB-16315,Karl Braun,Consumer,296,9,1569.464,1,5,2,152,Hibernating
RB-19705,Roger Barcio,Home Office,54,4,2067.45,3,2,3,323,Hibernating
PN-18775,Parhena Norris,Home Office,30,8,1467.152,4,4,2,442,Hibernating
KD-16345,Katherine Ducich,Consumer,41,6,1888.964,4,3,3,433,Loyal Customers
ER-13855,Elpida Rittenbach,Corporate,421,3,1245.788,1,1,2,112,Lost Customers
RB-19465,Rick Bensley,Home Office,9,12,4715.466,5,5,5,555,Champions
GZ-14470,Gary Zandusky,Consumer,7,9,4355.150000000001,5,5,5,555,Champions
LC-16870,Lena Cacioppo,Consumer,27,8,2580.704,4,4,3,443,Loyal Customers
JM-15250,Janet Martin,Consumer,37,6,3159.1220000000003,4,3,4,434,Loyal Customers
PA-19060,Pete Armstrong,Home Office,103,6,729.408,3,3,1,331,Hibernating
CV-12805,Cynthia Voltz,Corporate,5,9,2370.3136,5,5,3,553,Loyal Customers
CL-12565,Clay Ludtke,Consumer,284,12,10880.546,1,5,5,155,At Risk
RC-19960,Ryan Crowe,Consumer,110,6,885.752,2,3,1,231,Hibernating
DK-13090,Dave Kipp,Consumer,42,7,2650.557,4,3,3,433,Loyal Customers
GG-14650,Greg Guthrie,Corporate,43,9,2224.0,4,5,3,453,Loyal Customers
SC-20725,Steven Cartwright,Consumer,187,11,5226.21,2,5,5,255,At Risk
AD-10180,Alan Dominguez,Home Office,29,8,6106.88,4,4,5,445,Champions
PF-19165,Philip Fox,Consumer,196,6,2770.0,2,3,4,234,At Risk
TS-21610,Troy Staebel,Consumer,55,7,2820.424,3,4,4,344,Loyal Customers
LS-16975,Lindsay Shagiari,Home Office,20,9,2988.674,5,5,4,554,Champions
DW-13585,Dorothy Wardle,Corporate,242,7,1204.854,1,3,2,132,Hibernating
LC-16885,Lena Creighton,Consumer,16,12,7663.126,5,5,5,555,Champions
JD-15895,Jonathan Doherty,Corporate,394,11,7610.864,1,5,5,155,At Risk
SH-19975,Sally Hughsby,Corporate,29,13,3406.8395,4,5,4,454,Champions
SG-20080,Sandra Glassco,Consumer,8,3,3406.581,5,1,4,514,Potential Loyalists
HA-14920,Helen Andreada,Consumer,20,8,2584.158,5,4,3,543,Loyal Customers
MG-17680,Maureen Gastineau,Home Office,92,4,2350.188,3,2,3,323,Hibernating
JE-16165,Justin Ellison,Corporate,20,3,2697.248,5,1,3,513,Potential Loyalists
TW-21025,Tamara Willingham,Home Office,64,7,5278.826,3,4,5,345,Loyal Customers
SP-20650,Stephanie Phelps,Corporate,386,9,1872.436,1,5,3,153,At Risk
NK-18490,Neil Knudson,Home Office,70,7,572.048,3,4,1,341,Hibernating
DB-13060,Dave Brooks,Consumer,16,7,4531.646,5,3,5,535,Loyal Customers
NP-18670,Nora Paige,Consumer,58,5,3908.402,3,2,4,324,Hibernating
TT-21070,Ted Trevino,Consumer,31,7,4915.602,4,4,5,445,Champions
EM-13960,Eric Murdock,Consumer,151,5,933.704,2,2,1,221,Lost Customers
RD-19900,Ruben Dartt,Consumer,114,9,3133.924,2,5,4,254,At Risk
MJ-17740,Max Jones,Consumer,22,7,6320.746,5,4,5,545,Champions
BM-11140,Becky Martin,Consumer,307,4,11789.63,1,1,5,115,About to Sleep
CS-12130,Chad Sievert,Consumer,489,4,884.64,1,1,1,111,Lost Customers
JB-15400,Jennifer Braxton,Corporate,7,10,1791.605,5,5,3,553,Loyal Customers
SJ-20500,Shirley Jackson,Consumer,253,5,1318.776,1,2,2,122,Lost Customers
JK-15640,Jim Kriz,Home Office,180,9,4760.434,2,5,5,255,At Risk
DK-13150,David Kendrick,Corporate,10,2,797.832,5,1,1,511,New Customers
RM-19675,Robert Marley,Home Office,6,5,5979.0960000000005,5,2,5,525,Potential Loyalists
SK-19990,Sally Knutson,Consumer,8,3,883.409,5,1,1,511,New Customers
FM-14290,Frank Merwin,Home Office,36,9,3736.198,4,5,4,454,Champions
AM-10360,Alice McCarthy,Corporate,28,5,814.012,4,2,1,421,Need Attention
MP-17470,Mark Packer,Home Office,719,7,3206.132,1,4,4,144,At Risk
MZ-17515,Mary Zewe,Corporate,282,6,2564.906,1,3,3,133,At Risk
CB-12025,Cassandra Brandow,Consumer,47,10,6076.139,4,5,5,455,Champions
VM-21685,Valerie Mitchum,Home Office,54,7,2454.866,3,4,3,343,Loyal Customers
FH-14365,Fred Hopkins,Corporate,5,8,6987.196,5,4,5,545,Champions
MB-17305,Maria Bertelson,Consumer,48,10,1548.702,4,5,2,452,Hibernating
BS-11755,Bruce Stewart,Consumer,1,7,2562.382,5,3,3,533,Loyal Customers
LC-17140,Logan Currie,Consumer,13,9,2633.582,5,5,3,553,Loyal Customers
HK-14890,Heather Kirkland,Corporate,151,8,4877.784,2,4,5,245,At Risk
LE-16810,Laurel Elliston,Consumer,21,6,1469.45,5,3,2,532,Hibernating
JH-15985,Joseph Holt,Consumer,29,6,7954.998,4,3,5,435,Loyal Customers
MS-17980,Michael Stewart,Corporate,26,6,855.116,5,3,1,531,Hibernating
VW-21775,Victoria Wilson,Corporate,28,10,6134.0380000000005,4,5,5,455,Champions
JH-15910,Jonathan Howell,Consumer,41,7,959.477,4,4,1,441,Hibernating
JB-15925,Joni Blumstein,Consumer,737,3,900.552,1,1,1,111,Lost Customers
DS-13180,David Smith,Corporate,23,9,2881.8128,5,5,4,554,Champions
VD-21670,Valerie Dominguez,Consumer,581,6,6442.254,1,3,5,135,At Risk
EA-14035,Erin Ashbrook,Corporate,152,13,2846.705,2,5,4,254,At Risk
DB-13120,David Bremer,Corporate,48,7,2973.094,4,3,4,434,Loyal Customers
KL-16645,Ken Lonsdale,Consumer,47,12,14175.229,4,5,5,455,Champions
DW-13480,Dianna Wilson,Home Office,217,5,5271.628,2,2,5,225,About to Sleep
LH-17155,Logan Haushalter,Consumer,385,9,1739.689,1,5,3,153,At Risk
