customer_id,recency_days,frequency_orders,monetary_value,total_profit,customer_name,segment,r_score,f_score,m_score,rfm_score,rfm_combined_score,customer_segment
AA-10315,185,5,5563.56,-362.8825,Alex Avila,Consumer,2,2,5,225,9,About to Sleep
AA-10375,20,9,1056.39,277.3824,Allen Armold,Consumer,5,5,2,552,12,Promising / Needs Attention
AA-10480,260,4,1790.5120000000002,435.8274,Andrew Allen,Consumer,1,1,3,113,5,About to Sleep
AA-10645,56,6,5086.9349999999995,857.8033,Anna Andreadi,Consumer,3,3,5,335,11,Loyal Customers
AB-10015,416,3,886.156,129.3465,Aaron Bergman,Consumer,1,1,1,111,3,Hibernating / Lost
AB-10060,55,8,7755.62,2054.5885,Adam Bellavance,Home Office,3,4,5,345,12,Loyal Customers
AB-10105,42,10,14473.570999999998,5444.8055,Adrian Barton,Consumer,4,5,5,455,14,Champions
AB-10150,42,5,966.71,313.6597,Aimee Bixby,Consumer,4,2,2,422,8,Potential Loyalists
AB-10165,26,8,1113.838,220.813,Alan Barnes,Consumer,5,4,2,542,11,Promising / Needs Attention
AB-10255,167,9,914.5319999999999,264.5675,Alejandro Ballentine,Home Office,2,5,1,251,8,Promising / Needs Attention
AB-10600,51,4,1515.862,-274.9604,Ann Blume,Corporate,4,1,2,412,7,Potential Loyalists
AC-10420,233,3,925.8,-62.1342,Alyssa Crouse,Corporate,1,1,1,111,3,Hibernating / Lost
AC-10450,12,7,5527.846,1366.0098,Amy Cox,Consumer,5,3,5,535,13,Loyal Customers
AC-10615,7,5,2537.6859999999997,298.8273,Ann Chong,Corporate,5,2,3,523,10,Potential Loyalists
AC-10660,283,5,657.316,-28.700399999999995,Anna Chung,Consumer,1,2,1,121,4,Hibernating / Lost
AD-10180,30,8,6106.88,1869.9294,Alan Dominguez,Home Office,4,4,5,445,13,Champions
AF-10870,42,7,2052.908,317.9712,Art Ferguson,Consumer,4,3,3,433,10,Loyal Customers
AF-10885,416,4,861.565,-163.1175,Art Foster,Consumer,1,1,1,111,3,Hibernating / Lost
AG-10270,279,5,2582.898,732.7399,Alejandro Grove,Consumer,1,2,3,123,6,About to Sleep
AG-10300,119,4,367.548,59.288399999999996,Aleksandra Gannaway,Corporate,2,1,1,211,4,Hibernating / Lost
AG-10330,9,5,660.972,-5.137100000000006,Alex Grayson,Consumer,5,2,1,521,8,Potential Loyalists
AG-10390,115,5,200.945,69.2784,Allen Goldenen,Consumer,2,2,1,221,5,Hibernating / Lost
AG-10495,79,8,2356.855,295.6668,Andrew Gjertsen,Corporate,3,4,3,343,10,Loyal Customers
AG-10525,846,4,1455.038,-152.7613,Andy Gerbode,Corporate,1,1,2,112,4,Hibernating / Lost
AG-10675,98,7,3489.0396000000005,-246.42570000000003,Anna Gayman,Consumer,3,3,4,334,10,Loyal Customers
AG-10765,78,4,170.584,-8.431000000000001,Anthony Garverick,Home Office,3,1,1,311,5,Promising / Needs Attention
AG-10900,97,10,4510.797,343.6824,Arthur Gainer,Consumer,3,5,5,355,13,Loyal Customers
AH-10030,13,7,1744.7,365.2152,Aaron Hawkins,Corporate,5,3,3,533,11,Loyal Customers
AH-10075,35,10,3250.337,281.189,Adam Hart,Corporate,4,5,4,454,13,Champions
AH-10120,61,7,1735.5140000000001,-2.3145999999999773,Adrian Hane,Home Office,3,3,2,332,8,Promising / Needs Attention
AH-10195,56,4,1587.452,-378.5509,Alan Haines,Corporate,3,1,2,312,6,Promising / Needs Attention
AH-10210,7,9,4805.344,1308.5546,Alan Hwang,Consumer,5,5,5,555,15,Champions
AH-10465,231,5,2495.3916,-196.12009999999998,Amy Hunt,Consumer,1,2,3,123,6,About to Sleep
AH-10585,22,4,738.504,83.96300000000001,Angele Hood,Consumer,5,1,1,511,7,Potential Loyalists
AH-10690,411,12,7888.294,1298.0166,Anna Häberlin,Corporate,1,5,5,155,11,At Risk
AI-10855,14,10,4375.786,867.7271000000001,Arianne Irving,Consumer,5,5,5,555,15,Champions
AJ-10780,76,7,4867.344,150.71300000000005,Anthony Jacobs,Corporate,3,3,5,335,11,Loyal Customers
AJ-10795,167,7,4501.391,1158.7064,Anthony Johnson,Corporate,2,3,5,235,10,At Risk
AJ-10945,86,7,1839.24,521.1351999999999,Ashley Jarboe,Consumer,3,3,3,333,9,Loyal Customers
AJ-10960,75,3,629.2479999999999,60.4265,Astrea Jones,Consumer,3,1,1,311,5,Promising / Needs Attention
